`480.`:flag_br:`GustavoPredador      32`
`481.`:flag_es:`KingBoo              31`
`481.`:flag_us:`TuckerStudios        31`
`483.`:flag_de:`YTKoopaPlayer        30`
`484.`:flag_us:`quane                29`
`485.`:flag_us:`OddPandemonium       28`
`485.`:flag_br:`Santhy99             28`
`485.`:flag_us:`TheReverserOfTime    28`
`488.`:flag_au:`RygelXVI             26`
`488.`:flag_de:`MilkToast            26`
`488.`:flag_us:`Turtlespyder         26`
`491.`:flag_gb:`Kazadure             25`
`491.`:flag_pl:`rd_2288              25`
`493.`:flag_de:`nasuper              24`
`493.`:flag_us:`BlueInfinity22       24`
`493.`:united_nations:`JayKayGame           24`
`496.`:flag_ua:`Fatal_King           22`
`497.`:flag_fr:`HopeTrash            21`
`497.`:united_nations:`Daroach              21`
`497.`:flag_us:`vandust              21`
`497.`:flag_br:`LD_SPEEDRUNS         21`
`501.`:flag_jp:`Val_JP               20`
`501.`:flag_us:`PizzaHydra           20`
`503.`:flag_us:`powerbread           19`
`504.`:flag_gb:`Nick1227             18`
`504.`:flag_us:`randomidiot13        18`
`506.`:flag_nl:`PainTensei           16`
`506.`:flag_es:`XabiXroSS            16`
`508.`:flag_it:`TrueChqos            15`
`508.`:flag_us:`MaySeaOh             15`
`510.`:flag_nl:`MeridianPrime        13`
`511.`:flag_no:`DarkLink             12`
`511.`:flag_ca:`The_Retro_Challenger 12`
`511.`:flag_us:`KendrickMeatRider69  12`
`514.`:flag_au:`MrVirusYT            10`
`515.`:flag_us:`YoBGS                 9`
`516.`:flag_br:`FelipeNascimento83    8`
`517.`:flag_fr:`NewNickName0          6`
`517.`:flag_pt:`Pushyena              6`
`517.`:united_nations:`B0SSCAT               6`
`520.`:flag_br:`RitaH                 5`
`520.`:united_nations:`RantronBomb           5`
`522.`:flag_us:`Mars02                4`
`523.`:united_nations:`KMMA                  3`
`524.`:flag_pt:`WindMark              2`
`525.`:flag_us:`pilferspitfire        1`
`525.`:flag_us:`Sl0thboy78YT          1`
`527.`:flag_ru:`Brian                 0`
`527.`:flag_br:`JARP                  0`
`527.`:flag_us:`Kiwiener              0`
`527.`:united_nations:`mossranking           0`
