`479.`:flag_us:`JSR_                  2`
`479.`:flag_nl:`Kinnin11              2`
`479.`:flag_nl:`janglestorm           2`
`479.`:flag_sr:`k0zzx                 2`
`479.`:flag_ch:`adrianus              2`
`479.`:flag_us:`ebloodycandy          2`
`479.`:flag_nl:`MeridianPrime         2`
`479.`:flag_us:`alaris                2`
`479.`:flag_us:`SHiFT                 2`
`495.`:flag_us:`DarkSR                1`
`495.`:flag_de:`BloodDerg             1`
`495.`:flag_us:`wakejald              1`
`495.`:flag_us:`buffalax              1`
`495.`:flag_ca:`P4ntz                 1`
`495.`:flag_mx:`GhostSenpai           1`
`495.`:flag_us:`eddiecatgaming        1`
`495.`:flag_us:`barnowl               1`
`495.`:flag_pl:`Megami_infini         1`
`495.`:flag_au:`Tinonb                1`
`495.`:flag_us:`BFrobber              1`
`495.`:flag_us:`YoBGS                 1`
`495.`:flag_us:`Caidren               1`
`495.`:flag_us:`robthegamer115        1`
`495.`:flag_vn:`hypv                  1`
`495.`:flag_it:`TrueChqos             1`
`495.`:flag_us:`_-_STAR_fox_-_        1`
`495.`:united_nations:`RantronBomb           1`
`495.`:flag_us:`MarioManTAW           1`
`495.`:flag_ca:`The_Retro_Challenger  1`
`495.`:flag_us:`chryoyo               1`
`495.`:flag_ca:`Vidtendo              1`
`495.`:flag_au:`MrVirusYT             1`
`495.`:flag_us:`powerbread            1`
`495.`:united_nations:`jannik323             1`
`495.`:flag_ca:`Kyman                 1`
`495.`:flag_pt:`WindMark              1`
`522.`:flag_co:`SBells27              0`
`522.`:flag_us:`Jrjrdy16              0`
`522.`:flag_no:`Gnist                 0`
`522.`:flag_pl:`Kochen                0`
`522.`:flag_nl:`PainTensei            0`
`522.`:flag_au:`Echo                  0`
`522.`:flag_gb:`Nick1227              0`
`522.`:flag_us:`Kiwiener              0`
`522.`:united_nations:`mossranking           0`
